"LL","type","mixture","distribution","BIC","sample"
110.709154330228,"fixed_2","triploid","beta-uniform",-184.369598890051,"85-102"
176.158058758983,"fixed_2","tetraploid","beta-uniform",-300.447923839399,"85-102"
106.666216748322,"fixed_2","pentaploid","beta-uniform",-146.644755909915,"85-102"
148.350069373149,"fixed_2","hexaploid","beta-uniform",-215.192977251407,"85-102"
56.8081073589169,"fixed_3","diploid","beta-uniform",-106.206472763753,"85-102"
41.7762628356304,"fixed_3","triploid","beta-uniform",-68.7330417630989,"85-102"
44.403686659339,"fixed_3","tetraploid","beta-uniform",-66.5781474564353,"85-102"
46.2182330710399,"fixed_3","pentaploid","beta-uniform",-62.7974983257561,"85-102"
87.1112681482469,"fixed_3","hexaploid","beta-uniform",-137.173826526089,"85-102"
-11623.743202741,"fixed","diploid","beta-binomial",23247.4864054819,"85-102"
-8988.99529711742,"fixed","triploid","beta-binomial",17992.810078143,"85-102"
-8486.0165258611,"fixed","tetraploid","beta-binomial",16994.2622775844,"85-102"
-8359.05235352925,"fixed","pentaploid","beta-binomial",16747.7436748748,"85-102"
-8272.61910072516,"fixed","hexaploid","beta-binomial",16582.2869112207,"85-102"
-8253.13641007485,"fixed_2","diploid","beta-binomial",16521.0923040579,"85-102"
-8267.66763363293,"fixed_2","triploid","beta-binomial",16564.9742350822,"85-102"
-8218.46409044036,"fixed_2","tetraploid","beta-binomial",16481.3866326052,"85-102"
-8222.79804175046,"fixed_2","pentaploid","beta-binomial",16504.8740191336,"85-102"
-8166.561746858,"fixed_2","hexaploid","beta-binomial",16407.2209132568,"85-102"
-8253.13641007485,"fixed_3","diploid","beta-binomial",16513.6825621038,"85-102"
-8267.80026711995,"fixed_3","triploid","beta-binomial",16550.4200181481,"85-102"
-8285.59226401233,"fixed_3","tetraploid","beta-binomial",16593.4137538869,"85-102"
-8264.94869956138,"fixed_3","pentaploid","beta-binomial",16559.5363669391,"85-102"
-8221.45076202711,"fixed_3","hexaploid","beta-binomial",16479.9502338246,"85-102"
-8271.43055352539,"fixed","diploid","beta-binomial-uniform",16557.6805909589,"85-102"
-8202.1257903056,"fixed","triploid","beta-binomial-uniform",16426.4808064735,"85-102"
-8214.48563204621,"fixed","tetraploid","beta-binomial-uniform",16458.6102319087,"85-102"
-8242.04539526364,"fixed","pentaploid","beta-binomial-uniform",16521.1395002977,"85-102"
-8198.11595748294,"fixed","hexaploid","beta-binomial-uniform",16440.6903666904,"85-102"
